"building_name","sub_building_name","building_number","thoroughfare","dep_locality","post_town","postcode"
"","","3","SEYMOUR CHASE","","EPPING","CM16 6FE"
"","","106","AINSDALE ROAD","","BOLTON","BL3 3ER"
"","","25","ASHTON CRESCENT","","BRAUNTON","EX33 1RD"
"","","14","WESTERN WAY","","GOSPORT","PO12 2NG"
"","","5","FORDER GROVE","","BIRMINGHAM","B14 5JN"
"UMO PARK","UNIT 1",NULL,"BLACKHORSE ROAD","","LETCHWORTH GARDEN CITY","SG6 1HR"
"","","8","KINGS MEDE","","WATERLOOVILLE","PO8 9TN"
"UNIT 4","",NULL,"FALCONER ROAD","","HAVERHILL","CB9 7XZ"
"","","2","CHAPEL LANE","RAVENSHEAD","NOTTINGHAM","NG15 9DR"
"","","15","POPLAR CLOSE","CARLTON","NOTTINGHAM","NG4 1HF"
"","","16","COURT ROAD","","PORT GLASGOW","PA14 5PR"
"","","1","HOLLANDS ROAD","","HENFIELD","BN5 9UJ"
"","","201","COUNTY ROAD","","ORMSKIRK","L39 3LU"
"","","65","MORELAND COURT","CARLTON","NOTTINGHAM","NG4 1GS"
"","","1","HATTERSLEY WAY","","ORMSKIRK","L39 2AN"
"","","14","SOUTHFIELD CLOSE","","DUKINFIELD","SK16 5RX"
"","","50","NORTH RISE","","CARDIFF","CF14 0RN"
"","","8","HOMEFIELD","POTTEN END","BERKHAMSTED","HP4 2QX"
"","","107","COLCHESTER ROAD","","EDGWARE","HA8 0QX"
"","","191","HERSHAM ROAD","HERSHAM","WALTON-ON-THAMES","KT12 5NR"
"","","38","CATHEDRAL ROAD","CHADDERTON","OLDHAM","OL9 0AY"
"","","11","KEATS AVENUE","","SUTTON-IN-ASHFIELD","NG17 2GH"
